fusion_method,alpha,rrf_k,MAP,nDCG@5,P@1,P@5,P@10,Recall@5,Recall@10,MRR,bpref
rrf,0.8,10,0.12836766162850885,0.20834098562055728,0.25,0.19999999999999998,0.20000000000000004,0.06159803553420575,0.11732379125996147,0.4138888888888889,0.11909210786286355
score,0.8,10,0.12606602175545423,0.17783383965801666,0.4166666666666667,0.13333333333333333,0.20833333333333334,0.034797983734153944,0.11693112836729858,0.4776709401709402,0.10985384910064429
score,0.7,10,0.1153028795711254,0.17552441166802393,0.25,0.15,0.16666666666666666,0.036313135249305455,0.09060005203622225,0.39666020254255546,0.09751040152922204
rrf,0.7,10,0.11463058977508722,0.1659306553869074,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.04557239450856473,0.12596144989762012,0.34872685185185187,0.1062071869026396
rrf,0.8,60,0.11422475816570603,0.16346874790629448,0.16666666666666666,0.16666666666666666,0.21666666666666667,0.04557239450856473,0.1286832651194353,0.33968045843045847,0.10170262409710897
score,0.5,10,0.10455525409590959,0.1629661531585234,0.16666666666666666,0.16666666666666666,0.15000000000000002,0.03654207297824319,0.06153606047223068,0.3196532634032634,0.08452575517558354
rrf,0.8,30,0.1168787454142743,0.15623550495507596,0.16666666666666666,0.15,0.20833333333333334,0.045343456779627,0.1240536354898057,0.3518353174603175,0.10834818628310704
score,0.6,10,0.10710946519619585,0.15573291020730484,0.25,0.13333333333333333,0.15,0.034797983734153944,0.07519601163218183,0.3688034188034188,0.08490403283543178
score,0.4,10,0.09314163467629154,0.15057567871409086,0.08333333333333333,0.16666666666666666,0.12500000000000003,0.022882121818292033,0.0576552190913893,0.2575915750915751,0.07522277078189327
rrf,0.7,30,0.11321376534425326,0.14883447793878937,0.16666666666666666,0.15,0.20000000000000004,0.036313135249305455,0.11479437623054645,0.32076719576719576,0.09788565548693112
rrf,0.6,30,0.10727565706206484,0.14513396443064605,0.16666666666666666,0.15,0.16666666666666666,0.036313135249305455,0.07873506517123538,0.3035082972582973,0.08270918137483789
rrf,0.5,90,0.10024055794873016,0.14356054772041266,0.16666666666666666,0.13333333333333333,0.15000000000000002,0.021138032574202787,0.06946748090365111,0.3206048581048581,0.07269485920052696
rrf,0.8,90,0.112590581485296,0.14036262896004045,0.16666666666666666,0.13333333333333333,0.20000000000000004,0.02242424636041657,0.11030904674521697,0.3326388888888889,0.09631108573444043
rrf,0.6,10,0.10796409428312603,0.13790072147942756,0.16666666666666666,0.13333333333333333,0.18333333333333335,0.034797983734153944,0.10401996545613568,0.31686507936507935,0.08548972296259756
rrf,0.7,90,0.10750216247248863,0.13666211545189716,0.16666666666666666,0.13333333333333333,0.18333333333333335,0.02242424636041657,0.09428340571957593,0.31676587301587306,0.08811286325998764
score,0.3,10,0.08076337342536526,0.13644400349435684,0.08333333333333333,0.15,0.125,0.021366970303140515,0.04208745352362373,0.2397888854538471,0.06921355992355686
rrf,0.7,60,0.10773966920849136,0.13470280271905535,0.16666666666666666,0.13333333333333333,0.20000000000000004,0.02242424636041657,0.11030904674521697,0.3098214285714286,0.0869972540456716
rrf,0.5,10,0.0939706989318323,0.13470280271905535,0.08333333333333333,0.15,0.1416666666666667,0.03502692146309167,0.07107513251130272,0.2567669172932331,0.07402226276506839
rrf,0.5,60,0.10020203201058302,0.13262679126105084,0.16666666666666666,0.11666666666666665,0.15833333333333333,0.020909094845265055,0.0671670036031738,0.3206048581048581,0.07167028309388014
rrf,0.5,30,0.09921622633964074,0.12892627775290752,0.16666666666666666,0.11666666666666665,0.15,0.020909094845265055,0.06531515175132196,0.30469576719576724,0.0696292504897301
rrf,0.2,90,0.07762022269858394,0.12797215451560795,0.0,0.15,0.125,0.022653184089354305,0.047774359210529416,0.20056095155829198,0.05411953294226678
rrf,0.6,60,0.10480590853486321,0.12696696502006571,0.16666666666666666,0.11666666666666665,0.17500000000000002,0.020909094845265055,0.07463453607070629,0.31329365079365085,0.08104040739472329
rrf,0.6,90,0.10260014484960696,0.12696696502006571,0.16666666666666666,0.11666666666666665,0.17500000000000002,0.020909094845265055,0.07463453607070629,0.31329365079365085,0.0815338263519701
rrf,0.2,60,0.07449582378941817,0.12601284178276614,0.0,0.15,0.11666666666666668,0.022653184089354305,0.041858515794686,0.19802189942684853,0.05253244761461646
rrf,0.3,10,0.07412657839663593,0.12231232827462285,0.0,0.15,0.11666666666666668,0.021366970303140515,0.03282819426436447,0.17944324194324193,0.05089602919179
rrf,0.4,30,0.08550324003486913,0.12023631681661832,0.08333333333333333,0.11666666666666665,0.125,0.020909094845265055,0.047774359210529416,0.26993367823109204,0.06058194680866962
rrf,0.4,60,0.08715171156342577,0.11899771078908794,0.08333333333333333,0.11666666666666665,0.13333333333333333,0.020909094845265055,0.06166324809941831,0.2762367262367263,0.05919267201502144
rrf,0.4,90,0.08692883363044725,0.11899771078908794,0.08333333333333333,0.11666666666666665,0.13333333333333333,0.020909094845265055,0.06166324809941831,0.2782040260763665,0.05863394279197042
rrf,0.4,10,0.08187041912996972,0.11333788454810284,0.08333333333333333,0.11666666666666665,0.12500000000000003,0.01962288105905127,0.0557474046835749,0.2488845645095645,0.05801653615218338
rrf,0.3,90,0.08662890239652012,0.11052586181033902,0.0,0.11666666666666665,0.13333333333333333,0.020909094845265055,0.06166324809941831,0.23448443548177592,0.058888549745780956
rrf,0.3,60,0.08304971872696747,0.11052586181033902,0.0,0.11666666666666665,0.125,0.020909094845265055,0.047774359210529416,0.23112795400029448,0.058018522386062726
score,0.2,10,0.07503808202305781,0.10963737103995953,0.08333333333333333,0.11666666666666665,0.125,0.018965293965293964,0.04208745352362373,0.2108334989383376,0.06256450594103975
rrf,0.2,30,0.07107429088150156,0.10941925908241923,0.0,0.13333333333333333,0.125,0.021138032574202787,0.04208745352362373,0.18000311910264008,0.04955498223836932
